"malavi_species","ebird_species","note"
"Acrocephalus aedon","Arundinax aedon","Acrocephalidae"
"Acrocephalus baeticatus","Acrocephalus scirpaceus","Acrocephalidae"
"Alcippe castaneceps","Schoeniparus castaneceps","Pellorneidae"
"Alethe fuelleborni","Chamaetylas fuelleborni","Muscicapidae"
"Alethe poliocephala","Chamaetylas poliocephala","Muscicapidae; Brown-chested Alethe. MalAvi files the genus under Turdidae, so the family pool matched Turdus poliocephalus, the Australasian Island Thrush. The records are African."
"Ammodramus henslowii","Centronyx henslowii","Passerellidae"
"Ammodramus leconteii","Ammospiza leconteii","Passerellidae"
"Anas americana","Mareca americana","Anatidae"
"Anas cyanoptera","Spatula cyanoptera","Anatidae"
"Anisognathus flavinuchus","Anisognathus somptuosus","Thraupidae"
"Automolus rubiginosus","Clibanornis rubiginosus","Furnariidae"
"Babax lanceolatus","Pterorhinus lanceolatus","Leiothrichidae"
"Basileuterus coronatus","Myiothlypis coronata","Parulidae"
"Basileuterus hypoleucus","Basileuterus culicivorus","Parulidae"
"Buarremon basilicus","Arremon basilicus","Passerellidae; clootl has the exact name (legacy key wrongly lumped it to Arremon torquatus)"
"Carduelis flammea","Acanthis flammea","Fringillidae"
"Cettia diphone","Horornis diphone","Cettiidae"
"Chloropeta natalensis","Iduna natalensis","Acrocephalidae"
"Chloropeta similis","Iduna similis","Acrocephalidae"
"Chlorospingus ophthalmicus","Chlorospingus flavopectus","Passerellidae"
"Cichlherminia lherminieri","Turdus lherminieri","Turdidae"
"Corvus caurinus","Corvus brachyrhynchos","Corvidae"
"Cyanocompsa cyanoides","Cyanoloxia cyanoides","Cardinalidae"
"Delothraupis castaneoventris","Dubusia castaneoventris","Thraupidae"
"Dendroica coronata","Setophaga coronata","Parulidae"
"Diglossopis glauca","Diglossa glauca","Thraupidae"
"Dolospingus fringilloides","Sporophila fringilloides","Thraupidae"
"Doryfera ludoviciae","Doryfera ludovicae","Trochilidae"
"Elaenia chilensis","Elaenia albiceps","Tyrannidae"
"Empidonax occidentalis","Empidonax difficilis","Tyrannidae"
"Erithacus akahige","Larvivora akahige","Muscicapidae"
"Erithacus komadori","Larvivora komadori","Muscicapidae"
"Garrulax erythrocephalus","Trochalopteron erythrocephalum","Leiothrichidae"
"Garrulax lineatus","Trochalopteron lineatum","Leiothrichidae"
"Garrulax striatus","Grammatoptila striata","Leiothrichidae"
"Garrulax variegatus","Trochalopteron variegatum","Leiothrichidae"
"Hemispingus atropileus","Kleinothraupis atropileus","Thraupidae"
"Hemispingus frontalis","Sphenopsis frontalis","Thraupidae; Oleaginous Hemispingus. Needed by hand because clootl no longer uses the genus Hemispingus, so the genus guard has nothing to check against; MalAvi's Fringillidae label had matched Crithagra frontalis, an African finch."
"Hemispingus verticalis","Pseudospingus verticalis","Thraupidae"
"Hemispingus xanthophthalmus","Pseudospingus xanthophthalmus","Thraupidae"
"Hippolais caligata","Iduna caligata","Acrocephalidae"
"Hippolais pallida","Iduna pallida","Acrocephalidae"
"Hylocryptus rectirostris","Clibanornis rectirostris","Furnariidae"
"Iole olivacea","Iole crypta","Pycnonotidae"
"Ketupa ketupa","Ketupa ketupu","Strigidae"
"Kittacincla malabarica","Copsychus malabaricus","Muscicapidae; White-rumped Shama. clootl carries the Howard & Moore name 'Kittacincla malabarica' only on Copsychus albiventris, an Andaman endemic, so the synonym step resolved unambiguously to the wrong bird. The MalAvi records are from China."
"Lonchura bicolor","Spermestes bicolor","Estrildidae"
"Loxigilla portoricensis","Melopyrrha portoricensis","Thraupidae"
"Loxigilla violacea","Melopyrrha violacea","Thraupidae; Greater Antillean Bullfinch. MalAvi's Fringillidae label had matched Euphonia violacea, a South American euphonia."
"Luscinia calliope","Calliope calliope","Muscicapidae"
"Luscinia cyane","Larvivora cyane","Muscicapidae"
"Minla cyanouroptera","Actinodura cyanouroptera","Leiothrichidae"
"Myiomela albiventris","Sholicola albiventris","Muscicapidae"
"Myiothlypis coronatus","Myiothlypis coronata","Parulidae"
"Nectarinia afra","Cinnyris afer","Nectariniidae"
"Oriolus brachyrhynchus","Oriolus brachyrynchus","Oriolidae; MalAvi mislabels the family as Corvidae, which forced a false epithet-stem match to Corvus brachyrhynchos. clootl spells it brachyrynchus (one h)"
"Orthotomus cucullatus","Phyllergates cucullatus","Cettiidae"
"Paradoxornis webbianus","Suthora webbiana","Paradoxornithidae"
"Parus minor","Parus cinereus","Paridae"
"Phaeomyias murina","Nesotriccus murinus","Tyrannidae; eBird moved Phaeomyias into Nesotriccus. The Howard & Moore synonym 'Phaeomyias murina' is ambiguous (also on N. tumbezanus/maranonicus), so it must be set by hand to N. murinus"
"Phaeothlypis fulvicauda","Myiothlypis fulvicauda","Parulidae"
"Phrygilus alaudinus","Rhopospina alaudina","Thraupidae"
"Phrygilus fruticeti","Rhopospina fruticeti","Thraupidae"
"Phrygilus plebejus","Geospizopsis plebejus","Thraupidae"
"Piculus rubiginosus","Colaptes rubiginosus","Picidae"
"Pipilo fuscus","Melozone fusca","Passerellidae"
"Pitohui cristatus","Ornorectes cristatus","Oreoicidae"
"Pitohui ferrugineus","Pseudorectes ferrugineus","Pachycephalidae; a correct match that the genus guard declines, because clootl files Pitohui in Oriolidae and Pseudorectes in Pachycephalidae. Set by hand to keep it."
"Pitohui incertus","Pseudorectes incertus","Pachycephalidae; as for Pitohui ferrugineus, a correct cross-family transfer the genus guard cannot distinguish from a false one."
"Pomatostomus isidorei","Garritornis isidorei","Pomatostomidae"
"Poospiza caesar","Poospizopsis caesar","Thraupidae"
"Poospiza lateralis","Microspingus lateralis","Thraupidae"
"Pseudoalcippe abyssinica","Sylvia abyssinica","Sylviidae"
"Ptilogonys cinereus","Ptiliogonys cinereus","Ptiliogonatidae"
"Pycnonotus tricolor","Pycnonotus barbatus","Pycnonotidae"
"Sholicola ashambuensis","Sholicola albiventris","Muscicapidae"
"Spizella arborea","Spizelloides arborea","Passerellidae"
"Synallaxis whitneyi","Synallaxis cinerea","Furnariidae"
"Tachyphonus cristatus","Loriotus cristatus","Thraupidae"
"Thalurania fannyi","Thalurania colombica","Trochilidae; Green-crowned Woodnymph, treated by eBird/Clements within Crowned Woodnymph T. colombica. Without this the family-pool stem match wrongly hit Myrtis fanny (a woodstar)"
"Thraupis bonariensis","Rauenia bonariensis","Thraupidae"
"Thraupis cyanocephala","Sporathraupis cyanocephala","Thraupidae; Blue-capped Tanager. MalAvi's Fringillidae label had matched Chlorophonia cyanocephala, the Golden-rumped Euphonia."
"Thryothorus euophrys","Pheugopedius euophrys","Troglodytidae"
"Thryothorus genibarbis","Pheugopedius genibarbis","Troglodytidae"
"Thryothorus leucotis","Cantorchilus leucotis","Troglodytidae"
"Thryothorus longirostris","Cantorchilus longirostris","Troglodytidae"
"Thryothorus modestus","Cantorchilus modestus","Troglodytidae"
"Tiaris bicolor","Melanospiza bicolor","Thraupidae"
"Tiaris obscura","Asemospiza obscura","Thraupidae; Dull-colored Grassquit. MalAvi's Fringillidae label had matched Akialoa obscura, an extinct Hawaiian honeycreeper. Set by hand rather than left to the legacy key."
"Turdoides gularis","Argya gularis","Leiothrichidae; White-throated Babbler. MalAvi's Timaliidae label had matched Mixornis gularis, the Pin-striped Tit-Babbler."
"Vermivora pinus","Vermivora cyanoptera","Parulidae; Blue-winged Warbler, renamed V. cyanoptera in 2010. The epithet match found Setophaga pinus, the Pine Warbler -- a different bird in the same family, which the genus guard cannot exclude."
"Xenopipo unicolor","Chloropipo unicolor","Pipridae"
"Zosterops capensis","Zosterops virens","Zosteropidae; capensis is a subspecies of Cape White-eye Z. virens under Clements. The legacy key carried the 2012 Jetz lump under Z. pallidus, Orange River White-eye."
"Zosterops montanus","Zosterops japonicus","Zosteropidae"
